127.0.0.1 - - [17/Feb/2017:15:54:38 -0200] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [17/Feb/2017:15:55:40 -0200] "GET /ComponentesJSF/tela.xhtml HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [17/Feb/2017:15:55:40 -0200] "GET /favicon.ico HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [17/Feb/2017:15:56:07 -0200] "GET /ComponentesJSF/tela.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2017:15:56:12 -0200] "GET /PrimeiroProjeto/pagina.xhtml HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [17/Feb/2017:15:57:31 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:06:27 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:07:43 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:07:55 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:10:17 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:14:56 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 3838
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:15:27 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:15:29 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:15:29 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:15:29 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:15:30 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:15:30 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:18:09 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:18:10 -0200] "GET /ComponentesJSF/faces/javax.faces.resource/jsf.js?ln=javax.faces HTTP/1.1" 200 41988
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:18:11 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Feb/2017:16:18:13 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:46:46 -0200] "POST /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 500 2105
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:47:00 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 1594
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:53:34 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [17/Feb/2017:17:56:43 -0200] "GET /ComponentesJSF/faces/tela.xhtml HTTP/1.1" 200 2293
